car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,manufacture,engine,Seats,company
Maruti Ignis Zeta AMT,738255.0,59385,Petrol,Automatic,2019,1197,5,Maruti
Mahindra XUV500 AT W6 1.99 mHawk,1328859.0,74000,Diesel,Automatic,2017,1997,7,Mahindra
Tata Nexon 1.2 Revotron XMA,1142281.0,29000,Petrol,Automatic,2020,1198,5,Tata
Jeep Compass Model S 4X4 Diesel AT,3691275.0,12200,Diesel,Automatic,2021,1956,5,Jeep
Hyundai Grand i10 1.2 Kappa Sportz Option AT,738255.0,40000,Petrol,Automatic,2019,1197,5,Hyundai
Hyundai Verna CRDi 1.6 SX,1276510.0,58000,Diesel,Manual,2018,1582,5,Hyundai
Toyota Innova Crysta 2.8 ZX AT BSIV,2671140.0,75000,Diesel,Automatic,2019,2755,7,Toyota
Land Rover Discovery Sport TD4 HSE 7S,4765100.0,72000,Diesel,Automatic,2018,1999,7,Land
Ford Aspire 1.2 Ti-VCT Titanium,738255.0,23400,Petrol,Manual,2017,1196,5,Ford
Ford Aspire 1.2 Ti-VCT Ambiente,523489.0,59300,Petrol,Manual,2017,1196,5,Ford
Hyundai Creta 1.4 CRDi S,1194630.0,72000,Diesel,Manual,2016,1396,5,Hyundai
Maruti Swift Dzire LDI,605369.0,67000,Diesel,Manual,2017,1248,5,Maruti
Honda Amaze S CVT i-VTEC,973154.0,33500,Petrol,Automatic,2018,1199,5,Honda
Hyundai Creta SX Executive,1711409.0,17000,Petrol,Manual,2021,1497,5,Hyundai
Volkswagen Ameo 1.5 TDI Highline AT,926174.0,33000,Diesel,Automatic,2016,1498,5,Volkswagen
Volkswagen Polo GT TSI,906040.0,49000,Petrol,Automatic,2015,1197,5,Volkswagen
Hyundai Grand i10 AT Asta,758389.0,26000,Petrol,Automatic,2015,1197,5,Hyundai
Kia Seltos GTX Plus AT D,2651006.0,10000,Diesel,Automatic,2022,1493,5,Kia
Skoda Octavia Elegance 1.8 TSI AT,1308724.0,55000,Petrol,Automatic,2015,1798,5,Skoda
Toyota Corolla Altis G,872483.0,38000,Petrol,Manual,2013,1798,5,Toyota
Honda Amaze S AT i-Vtech,637583.0,65413,Petrol,Automatic,2013,1198,5,Honda
Honda Jazz Mode,375838.0,45000,Petrol,Manual,2009,1198,5,Honda
Ford Figo 1.2P Trend MT,577181.0,44000,Petrol,Manual,2017,1196,5,Ford
Hyundai Grand i10 1.2 Kappa Magna BSIV,657718.0,40000,Petrol,Manual,2017,1197,5,Hyundai
Ford Ecosport 1.5 Petrol Titanium AT,873825.0,49000,Petrol,Automatic,2016,1496,5,Ford
